Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
533289,Dobřichov,607,391,389,"9,25 %","0,00 %","0,25 %","11,31 %","0,00 %","14,91 %","13,11 %","1,02 %","0,77 %","2,05 %","0,00 %","0,00 %","10,79 %","0,25 %","0,25 %","3,85 %","24,16 %","0,00 %","0,25 %","0,51 %","0,00 %","0,00 %","0,25 %","0,00 %","6,16 %","0,77 %"
533297,Dolní Chvatliny,358,196,195,"5,12 %","0,00 %","0,51 %","5,64 %","0,51 %","18,46 %","18,46 %","0,00 %","3,07 %","1,53 %","0,00 %","0,00 %","6,66 %","0,00 %","0,51 %","1,53 %","28,20 %","0,00 %","0,00 %","1,02 %","0,00 %","1,02 %","0,51 %","0,00 %","6,66 %","0,51 %"
513181,Dománovice,104,66,66,"4,54 %","0,00 %","0,00 %","0,00 %","0,00 %","30,30 %","12,12 %","0,00 %","0,00 %","1,51 %","0,00 %","0,00 %","7,57 %","0,00 %","0,00 %","1,51 %","30,30 %","0,00 %","0,00 %","3,03 %","0,00 %","0,00 %","0,00 %","0,00 %","9,09 %","0,00 %"
533301,Doubravčice,490,325,325,"16,61 %","0,30 %","0,00 %","5,23 %","0,00 %","7,07 %","4,30 %","0,92 %","0,61 %","0,61 %","0,30 %","0,30 %","15,38 %","0,00 %","0,00 %","7,69 %","29,84 %","0,30 %","0,30 %","3,38 %","0,00 %","0,00 %","0,61 %","0,00 %","6,15 %","0,00 %"
564681,Drahobudice,202,129,129,"10,07 %","0,00 %","0,00 %","4,65 %","0,00 %","20,93 %","11,62 %","0,00 %","0,00 %","0,77 %","0,00 %","0,00 %","6,97 %","0,00 %","0,00 %","3,10 %","26,35 %","0,00 %","0,00 %","0,77 %","0,00 %","0,00 %","0,00 %","0,00 %","14,72 %","0,00 %"
599450,Grunta,71,56,56,"1,78 %","0,00 %","0,00 %","3,57 %","0,00 %","14,28 %","10,71 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","5,35 %","0,00 %","0,00 %","0,00 %","42,85 %","0,00 %","0,00 %","7,14 %","0,00 %","0,00 %","1,78 %","3,57 %","8,92 %","0,00 %"
533327,Horní Kruty,400,222,221,"14,47 %","0,45 %","0,00 %","3,61 %","0,00 %","14,47 %","13,12 %","0,00 %","0,90 %","2,26 %","0,45 %","0,00 %","4,97 %","0,00 %","0,00 %","4,07 %","28,50 %","0,00 %","0,00 %","2,26 %","0,00 %","0,90 %","0,00 %","0,00 %","7,69 %","1,80 %"
564800,Hradešín,326,213,211,"15,63 %","0,47 %","0,00 %","6,16 %","0,00 %","6,16 %","2,36 %","1,42 %","0,00 %","4,26 %","0,00 %","0,00 %","13,27 %","0,47 %","0,00 %","11,84 %","23,22 %","0,00 %","0,00 %","4,73 %","0,00 %","0,47 %","0,00 %","0,47 %","8,53 %","0,47 %"
534994,Choťovice,157,104,103,"14,56 %","0,00 %","0,00 %","3,88 %","0,00 %","17,47 %","13,59 %","0,97 %","0,97 %","0,97 %","0,00 %","0,00 %","8,73 %","0,00 %","0,00 %","0,00 %","32,03 %","0,00 %","0,00 %","1,94 %","0,00 %","0,00 %","0,00 %","0,97 %","3,88 %","0,00 %"
533343,Chotutice,396,248,244,"16,80 %","0,00 %","0,00 %","8,19 %","0,00 %","17,21 %","9,42 %","0,00 %","0,00 %","0,40 %","0,00 %","0,00 %","9,42 %","0,00 %","0,00 %","4,50 %","25,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,40 %","0,00 %","0,00 %","8,60 %","0,00 %"
